Name,Routes
Seema Puri Depot,"[{'name': '205', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '216', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '216ACL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '216ASTL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '216CL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '216LnkST', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '33', 'mode': 5, 'dir': 'Noida Sector-37'}, {'name': '33LnkSTL', 'mode': 5, 'dir': 'Mayur Vihar Phase 3 Terminal'}, {'name': '340', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '358', 'mode': 5, 'dir': 'Karol Bagh Terminal'}, {'name': '542', 'mode': 5, 'dir': 'Malviya Nagar Terminal'}, {'name': '847A', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '847A', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': '971', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '971A', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': 'Yms(+) Y', 'mode': 5, 'dir': 'Nityanand Marg'}]"
Vivek Vihar Girls School,"[{'name': '340', 'mode': 5, 'dir': 'Seema Puri Depot'}]"
Govt. School Dilshad Garden,"[{'name': '165', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '165A', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '212', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '280', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '333', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}]"
Nand Nagri Terminal,"[{'name': '165', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '165A', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '205', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '212', 'mode': 5, 'dir': 'Anand Parvat'}, {'name': '213', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '213Ext', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '216ACL', 'mode': 5, 'dir': 'Natyanand Marg'}, {'name': '216BCL', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '235', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '241', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '261', 'mode': 5, 'dir': 'Sarai Kale Khan'}, {'name': '280', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '33', 'mode': 5, 'dir': 'Noida Sector-37'}, {'name': '331', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '335', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '33A', 'mode': 5, 'dir': 'Noida Sector-39'}, {'name': '350', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '374', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '847', 'mode': 5, 'dir': 'New Seemapuri'}, {'name': '847A', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '847Ext', 'mode': 5, 'dir': 'New Seemapuri'}]"
Ashok Nagar,"[{'name': '165', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '165A', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '210', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '212', 'mode': 5, 'dir': 'Anand Parvat'}, {'name': '216', 'mode': 5, 'dir': 'Laxmi Narayan Mandir'}, {'name': '216ACL', 'mode': 5, 'dir': 'Natyanand Marg'}, {'name': '216ACL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216ASTL', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '216CL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216LnkST', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '234', 'mode': 5, 'dir': 'Tilak Nagar X-Ing'}, {'name': '234CL', 'mode': 5, 'dir': 'Karampura Terminal'}, {'name': '234CLE', 'mode': 5, 'dir': 'Punjabi Bagh Terminal'}, {'name': '234Ext', 'mode': 5, 'dir': 'Tilak Nagar X-Ing'}, {'name': '253LnkST', 'mode': 5, 'dir': 'Mori Gate Terminal'}, {'name': '259', 'mode': 5, 'dir': 'K Block Jahangir Puri'}, {'name': '261', 'mode': 5, 'dir': 'Sarai Kale Khan'}, {'name': '971', 'mode': 5, 'dir': 'Avantika Sector -1'}, {'name': '971A', 'mode': 5, 'dir': 'B H Shalimar Bagh'}, {'name': 'OMS( -)', 'mode': 5, 'dir': 'Vivekanand Interstate Bus Terminus Anand Vihar'}, {'name': 'OMS(-)Ut', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': 'YMS(-)Ya', 'mode': 5, 'dir': 'Nityanand Marg'}]"
Gtb Hospital X-Ing,"[{'name': '165', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '165A', 'mode': 5, 'dir': 'Shahbad Dairy'}, {'name': '280', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '333', 'mode': 5, 'dir': 'Jahangir Puri'}, {'name': '341', 'mode': 5, 'dir': 'Metro Vihar (Holambi Kalan Jj Colony )'}]"
Dilshad Garden J. T. B. Road,"[{'name': '623STL', 'mode': 5, 'dir': 'Seema Puri Depot'}]"
Dilshad Garden Gtb Road,"[{'name': '214', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '214A', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '221', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '236', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '236Ext', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '246', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '280', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '281Ext', 'mode': 5, 'dir': 'Kendriya Terminal'}, {'name': '341', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '939', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '939Ext', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '943', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '982', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}]"
Anand Gram Ashram,"[{'name': '205', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '216', 'mode': 5, 'dir': 'Laxmi Narayan Mandir'}, {'name': '216ACL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216ASTL', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '216CL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216LnkST', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '253LnkST', 'mode': 5, 'dir': 'Mori Gate Terminal'}, {'name': '33', 'mode': 5, 'dir': 'Bhajan Pura'}, {'name': '33A', 'mode': 5, 'dir': 'Chauhan Patti'}, {'name': '847', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': '847A', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': '847Ext', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': '971', 'mode': 5, 'dir': 'Avantika Sector -1'}, {'name': '971A', 'mode': 5, 'dir': 'B H Shalimar Bagh'}, {'name': 'OMS( -)', 'mode': 5, 'dir': 'Vivekanand Interstate Bus Terminus Anand Vihar'}, {'name': 'OMS(-)Ut', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': 'YMS(-)Ya', 'mode': 5, 'dir': 'Nityanand Marg'}]"
Seema Puri (Old),"[{'name': '211LnSTL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '214', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '214A', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '221A', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '246', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': '33', 'mode': 5, 'dir': 'Bhajan Pura'}, {'name': '33A', 'mode': 5, 'dir': 'Chauhan Patti'}, {'name': '33LnkSTL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '340', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '358', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '375', 'mode': 5, 'dir': 'Poket B Dilshadgarden'}, {'name': '542', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '543SPL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '623STL', 'mode': 5, 'dir': 'Seema Puri Depot'}, {'name': '971', 'mode': 5, 'dir': 'Avantika Sector -1'}, {'name': '971A', 'mode': 5, 'dir': 'B H Shalimar Bagh'}, {'name': '982', 'mode': 5, 'dir': 'Seema Puri Depot(New Seema Puri)'}, {'name': 'OMS( -)', 'mode': 5, 'dir': 'Vivekanand Interstate Bus Terminus Anand Vihar'}, {'name': 'OMS(-)Ut', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}, {'name': 'YMS(-)Ya', 'mode': 5, 'dir': 'Nityanand Marg'}]"
